,Participants,Total Time,Median,Mean,Calculated Distraction Percent,Look Threshold,Duration Threshold,Occurrences
0,10142.mat,221590608.0,0.3429004132,0.371111131109,9.05%,.2,0.0,35
1,10321.mat,78913765.0,0.315698679678,0.376666585506,13.73%,.2,0.0,15
2,10332.mat,202420765.0,0.675664711677,0.622441960689,18.86%,.2,0.0,38
3,10341.mat,76572325.0,0.426813326797,0.457079214973,19.92%,.2,0.0,13
4,10521.mat,78741172.0,0.596818014305,0.479712181801,22.83%,.2,0.0,18
5,10535.mat,58516230.0,0.644495454213,0.369818942562,30.65%,.2,0.0,13
6,10544.mat,315333448.0,0.634134496598,0.521999600857,29.7%,.2,0.0,111
7,10725.mat,73522802.0,0.493573391939,0.495017239317,21.43%,.2,0.0,26
8,10731.mat,86992571.0,0.665065400162,0.633185799346,27.62%,.2,0.0,39
9,10744.mat,138990544.0,0.431320132621,0.420811378973,22.89%,.2,0.0,55
10,10925.mat,46839284.0,0.462307825328,0.254495583797,21.8%,.2,0.0,7
11,10932.mat,300463882.0,0.655097592567,0.530692895674,22.51%,.2,0.0,152
12,10945.mat,219828707.0,0.394460851688,0.349742517167,18.87%,.2,0.0,112
13,11322.mat,90492418.0,0.434264380493,0.28507953618,27.71%,.2,0.0,11
14,11331.mat,115285572.0,0.761832595739,0.602282719003,30.75%,.2,0.0,41
15,11341.mat,296009204.0,0.619769952672,0.546070621276,25.11%,.2,0.0,53
16,11523.mat,102602365.0,0.205569828658,0.257681858245,27.72%,.2,0.0,41
17,11531.mat,364296523.0,0.470880544191,0.446118896276,19.55%,.2,0.0,136
18,11545.mat,89815362.0,0.546912205409,0.562072991921,31.57%,.2,0.0,48
19,11722.mat,167850215.0,0.596827615108,0.531060610409,20.06%,.2,0.0,98
20,11733.mat,141944211.0,0.131692412852,0.167337517776,14.23%,.2,0.0,58
21,11741.mat,168485675.0,0.470740704884,0.50336471182,21.41%,.2,0.0,94
22,11921.mat,135097102.0,0.480365118092,0.395006137297,35.91%,.2,0.0,55
23,11933.mat,156259879.0,0.595389605577,0.438026473134,31.25%,.2,0.0,54
24,11944.mat,320105425.0,0.49456493826,0.465152045969,18.54%,.2,0.0,162
25,12121.mat,151651947.0,0.550485469579,0.442937480249,29.9%,.2,0.0,34
26,12131.mat,293762557.0,0.776571664624,0.707649329963,20.33%,.2,0.0,73
27,12143.mat,302263516.0,0.756314127822,0.698558272102,19.74%,.2,0.0,112
28,12325.mat,243905104.0,0.758088055615,0.689818531707,24.34%,.2,0.0,92
29,12332.mat,256911972.0,0.437855460057,0.420290789526,20.71%,.2,0.0,59
30,12341.mat,199518995.0,0.479386286246,0.474961553162,18.2%,.2,0.0,47
31,12621.mat,119023296.0,0.211552368425,0.343224834472,27.88%,.2,0.0,40
